expid,peakid,year,season,route1,totmembers,smtmembers,smtdate,success,termreason,highpoint,o2used,commercial,camps,style
TUKU78301,TUKU,1978,Autumn,SW Ridge,6,0,,False,10,5200.0,False,False,1.0,
ANNS78301,ANNS,1978,Autumn,SW Ridge-S Face,6,4,1978-10-16,True,1,7219.0,False,False,3.0,
NILS78301,NILS,1978,Autumn,E Ridge from N,6,6,1978-10-10,True,1,6839.0,False,False,3.0,
DHA278301,DHA2,1978,Autumn,S Face-E Ridge,5,0,1978-10-15,False,7,7500.0,False,False,3.0,
DHA178301,DHA1,1978,Autumn,SE Ridge,18,5,1978-10-19,True,1,8167.0,True,False,7.0,
JANU78301,JANU,1978,Autumn,E Ridge [to 6550m],4,4,1978-10-21,False,1,7711.0,False,False,1.0,
JANU78101,JANU,1978,Spring,N Face,8,0,1978-04-13,False,10,5800.0,False,False,,
LSHR78301,LSHR,1978,Autumn,SE Face,9,0,1978-11-24,False,4,6300.0,False,False,2.0,
CHOY78301,CHOY,1978,Autumn,SE Face,5,2,1978-10-27,True,1,8188.0,False,False,3.0,
NUPT78301,NUPT,1978,Autumn,N Face,3,0,1978-10-10,False,5,6800.0,False,False,2.0,
PUMO78301,PUMO,1978,Autumn,SW Ridge,13,8,1978-10-18,True,1,7138.0,True,False,2.0,
TILI78301,TILI,1978,Autumn,NE Spur-N Ridge,6,1,1978-10-10,True,1,7134.0,False,False,1.0,
APIM78301,APIM,1978,Autumn,E Ridge,14,4,1978-10-16,True,1,7132.0,False,False,3.0,
MAKA78301,MAKA,1978,Autumn,Makalu La-NW Ridge,20,0,1978-10-21,False,4,7400.0,False,False,4.0,
KGUR78301,KGUR,1978,Autumn,NW Ridge from W,13,0,1978-10-25,False,7,6650.0,False,False,2.0,
HIME78301,HIME,1978,Autumn,E Ridge-NE Face,8,0,1978-10-23,False,14,6400.0,False,False,3.0,
PUTH78301,PUTH,1978,Autumn,S Ridge-S Face,26,17,1978-10-08,True,1,7246.0,False,False,3.0,
ANN378301,ANN3,1978,Autumn,W Face,14,0,1978-10-20,False,7,7200.0,False,False,3.0,
ANN178301,ANN1,1978,Autumn,N Face (Dutch Rib),13,2,1978-10-15,True,1,8091.0,True,False,5.0,
EVER78301,EVER,1978,Autumn,S Col-SE Ridge,21,9,1978-10-14,True,1,8849.0,True,True,4.0,
AMAD78301,AMAD,1978,Autumn,SW Ridge,8,0,1978-10-20,False,5,6000.0,False,True,1.0,
LHOT77101,LHOT,1977,Spring,W Face,13,9,1977-05-08,True,1,8516.0,True,False,5.0,
MANA77101,MANA,1977,Spring,NE Face,9,0,1977-04-28,False,4,6800.0,False,True,3.0,
DHA178302,DHA1,1978,Autumn,SW Pillar,14,0,1978-10-31,False,4,7200.0,False,False,4.0,
MAK278301,MAK2,1978,Autumn,NW Face-Makalu Col-S Ridge,6,1,1978-10-22,True,1,7678.0,False,False,2.0,
DHA177101,DHA1,1977,Spring,(A pillar on) S Face,11,0,1977-04-19,False,10,6150.0,False,False,1.0,
KAN177101,KAN1,1977,Spring,W Face,2,0,1977-04-25,False,6,5640.0,False,False,,
MAK277101,MAK2,1977,Spring,NW Ridge,10,0,1977-05-15,False,4,7450.0,False,False,4.0,
KTSU77101,KTSU,1977,Spring,W Ridge,6,0,1977-04-29,False,10,6150.0,False,False,4.0,
KANG77101,KANG,1977,Spring,E Spur-N Ridge,19,2,1977-05-31,True,1,8586.0,True,False,6.0,
CHRE77101,CHRE,1977,Spring,N Ridge of E Smt,10,0,1977-04-18,False,6,6700.0,False,False,3.0,
